rank,title,summary_fa,summary_en,url,amount_eur_year,amount_max_eur_year,salary_min_month,salary_max_month,fte,amount_note,source,kind,organisation,country,city,deadline,posted,field,salary_text,score,matched,summary,first_seen
1,PhD Candidate in NeuroAI for Auditory Neuroscience,پروژه دکترا بخشی از NASCE (صحنه های شنیداری طبیعی در انسان ها و ماشین ها) است، یک پروژه ERC Synergy که با همکاری دکتر همکاران شما انجام شد: شما به آزمایشگاه شناخت شنیداری در انسان ها و ماشین ها (ARCHIE) ملحق خواهید شد، یک تیم تحقیقاتی بین رشته ای و بین المللی با تحقیقات ممیزی نزدیک با شما کار خواهد کرد. علوم اعصاب، تصویربرداری عصبی، و AI/NeuroAI.,"The PhD project is part of NASCE (Natural Auditory SCEnes in Humans and Machines), an ERC Synergy project conducted in collaboration with Dr. Your colleagues: You will join the AuditoRy Cognition in Humans and MachInEs (ARCHIE) lab , an interdisciplinary and international research team led by Prof. You will work closely with researchers with complementary expertise in auditory neuroscience, neuroimaging, and AI/NeuroAI.",https://www.academictransfer.com/en/jobs/363629/phd-candidate-in-neuroai-for-auditory-neuroscience/,44727.840000000004,56551.96000000001,3204.0,4051.0,1.0,شامل ۸٪ حق تعطیلات و ۸٫۳٪ پاداش پایان سال,AcademicTransfer,job,Maastricht University,Netherlands,Maastricht,2026-09-20,2026-09-01,,"€3,204–€4,051 gross/month · Permanent · 38 h/week",96.2,"psycholog*, neuroscien*, cognitive neuroscience, neuroimaging, fmri, cognition","Welcome to Maastricht University! How does the human brain transform complex natural sounds into meaningful percepts, and can artificial neural networks help us understand this process? Join the NASCE project and combine advanced neuroimaging with AI to inves…",2026-09-06
2,PhD position Neuroscience,در این پروژه، بررسی خواهید کرد که چگونه فعالیت جمعیت عصبی با رفتار در محیط‌های مختلف از سنجش‌های آزمایشگاهی استاندارد گرفته تا محوطه‌های بزرگ در فضای باز مرتبط است. با استفاده از تصویربرداری کوچک شده از کلسیم، فعالیت جمعیت بزرگی از نورون‌ها را در موش‌هایی که آزادانه رفتار می‌کنند، ثبت می‌کنید و تعیین می‌کنید که فعالیت عصبی چگونه با تغییرات رفتاری لحظه به لحظه مرتبط است. یکی از اجزای اصلی این پروژه از محفظه های بزرگ ماوس در فضای باز در دانشگاه گرونینگن استفاده خواهد کرد.,"In this project, you will investigate how neural population activity relates to behavior across environments ranging from standardized laboratory assays to large outdoor enclosures. Using miniaturized calcium imaging, you will record the activity of large populations of neurons in freely behaving mice and determine how neural activity relates to moment-to-moment behavioral changes. A major component of the project will make use of large outdoor mouse enclosures at the University of Groningen.",https://www.academictransfer.com/en/jobs/363419/phd-position-neuroscience/,44727.840000000004,56551.96000000001,3204.0,4051.0,1.0,شامل ۸٪ حق تعطیلات و ۸٫۳٪ پاداش پایان سال,AcademicTransfer,job,University of Groningen,Netherlands,Groningen,2026-09-18,2026-08-21,Faculty of Science and Engineering,"€3,204–€4,051 gross/month · Temporary · 38 h/week",82.4,"neuroscien*, anxiety",Understanding how patterns of neural activity give rise to behavior is a central challenge in neuroscience. Most of what we know about this relationship comes from rodent experiments performed under tightly controlled laboratory conditions. While these approa…,2026-09-06
3,PhD in behavioural neurobiology,ما به دنبال یک داوطلب دکترا هستیم تا به تیم نوروبیولوژی ما بپیوندد. برای درک عواقب کوتاه مدت و بلندمدت محرومیت از استرادیول، شما یک سری آزمایش را با استفاده از موش های صحرایی ماده میانسال تا مسن انجام خواهید داد. این پروژه به دنبال شناسایی شرایطی است که در آن از دست دادن استرادیول برای مغز زنان سالخورده مضر است و زمانی که چنین نیست.,"We are looking for a PhD candidate to join our Neurobiology team. To understand the short and long-term consequences of estradiol deprivation, you will perform a series of experiments using middle- to older-aged female rats. The project seeks to identify the conditions under which estradiol loss is detrimental to the aging female brain and when it is not.",https://www.academictransfer.com/en/jobs/363591/phd-in-behavioural-neurobiology/,44727.840000000004,56551.96000000001,3204.0,4051.0,1.0,شامل ۸٪ حق تعطیلات و ۸٫۳٪ پاداش پایان سال,AcademicTransfer,job,University of Groningen,Netherlands,Groningen,2026-09-15,2026-08-31,Faculty of Science and Engineering,"€3,204–€4,051 gross/month · Temporary · 38 h/week",77.0,"psycholog*, neuroscien*, neuroimaging, eeg, cognition, memory","We are looking for a PhD candidate to join our Neurobiology team. What are you going to do? To understand the short and long-term consequences of estradiol deprivation, you will perform a series of experiments using middle- to older-aged female rats. Menopaus…",2026-09-06
4,PhD position (4 years) on the Role of Foveal Processing in Spatial Attention,در نهایت، هدف آن ایجاد یک گزارش نظری جدید از چگونگی شکل دادن توجه فضایی به ادراک و آماده سازی سیستم بینایی برای حرکات چشم است. به عنوان کاندیدای دکترا، شما مسئول مطالعات رفتاری و روانی پروژه خواهید بود. شما از نزدیک با یک محقق فوق دکترا کار خواهید کرد که از fMRI 7T با میدان فوق العاده بالا برای بررسی مکانیسم های عصبی زیربنایی جذب فووآل استفاده خواهد کرد.,"Ultimately, it aims to develop a new theoretical account of how spatial attention shapes perception and prepares the visual system for eye movements. As the PhD candidate, you will be responsible for the project’s behavioural and psychophysical studies. You will work closely with a postdoctoral researcher who will use ultra-high-field 7T fMRI to investigate the neural mechanisms underlying foveal recruitment.",https://www.academictransfer.com/en/jobs/363344/phd-position-4-years-on-the-role-of-foveal-processing-in-spatial-attention/,44727.840000000004,56551.96000000001,3204.0,4051.0,1.0,شامل ۸٪ حق تعطیلات و ۸٫۳٪ پاداش پایان سال,AcademicTransfer,job,Vrije Universiteit Amsterdam,Netherlands,Amsterdam,2026-09-30,2026-08-17,,"€3,204–€4,051 gross/month · Temporary · 38 h/week",73.0,"psycholog*, neuroscien*, cognitive neuroscience, neuroimaging, fmri, experimental psychology","Are you interested in understanding how attention shapes what we see? Would you like to combine behavioural experiments, psychophysics, and eye tracking to uncover how the brain selects and prioritises visual information from the world around us?",2026-09-06
5,PhD position: The effect of transcutaneous vagus nerve stimulation on cognitive functions,کاری که انجام خواهید داد تحریک عصب واگ از راه پوست (tVNS) یک تکنیک غیر تهاجمی است که در آن عصب واگ به آرامی از طریق پوست، چه در گوش یا گردن، به صورت الکتریکی تحریک می شود. هدف این پروژه بررسی کامل اینکه آیا tVNS واقعاً عملکردهای شناختی را بهبود می بخشد یا خیر است. این کمک مالی توسط شورای تحقیقات هلند (NWO) که به ساندر نیوونهویس (دانشگاه لیدن) اعطا شده است، تامین می شود.,"What you will do Transcutaneous vagus nerve stimulation (tVNS) is a non-invasive technique in which the vagus nerve is gently stimulated electrically through the skin, either at the ear or the neck. The aim of this project is to investigate thoroughly whether tVNS genuinely improves cognitive functions. It is funded by a Dutch Research Council (NWO) grant awarded to Sander Nieuwenhuis (Leiden University).",https://www.academictransfer.com/en/jobs/362883/phd-position-the-effect-of-transcutaneous-vagus-nerve-stimulation-on-cognitive-functions/,42703.64,54178.76,3059.0,3881.0,1.0,شامل ۸٪ حق تعطیلات و ۸٫۳٪ پاداش پایان سال,AcademicTransfer,job,Universiteit Leiden,Netherlands,Leiden,2026-09-15,2026-07-23,,"€3,059–€3,881 gross/month · Temporary · 38 h/week",77.0,"psycholog*, neuropsycholog*, clinical psychology, fmri, eeg, memory, behavioral science, wellbeing","PhD position: The effect of transcutaneous vagus nerve stimulation on cognitive functions (1.0 fte, 4 years) Can noninvasive electrical stimulation of the vagus nerve improve our memory, attention and other cognitive functions? What you will do Transcutaneous…",2026-09-06
6,PhD candidate 'Neuroplasticity of Brain Stimulation in Depression',ما به دنبال یک کاندیدای دکترای مشتاق و جاه طلب هستیم تا به یک برنامه تحقیقاتی چند رشته ای جدید بپیوندیم که بررسی می کند چگونه ECT نوروپلاستیسیته در افسردگی را بازیابی می کند. این پروژه ترکیبی از تصویربرداری عصبی پیشرفته، الکتروفیزیولوژی و علوم اعصاب محاسباتی در یک کنسرسیوم ملی شامل Radboudumc، Amsterdam UMC، UMC Utrecht و موسسه هلند برای علوم اعصاب است.,"We are looking for an enthusiastic and ambitious PhD candidate to join a new multidisciplinary research programme investigating how ECT restores neuroplasticity in depression. The project combines advanced neuroimaging, electrophysiology and computational neuroscience within a national consortium involving Radboudumc, Amsterdam UMC, UMC Utrecht and the Netherlands Institute for Neuroscience.",https://www.academictransfer.com/en/jobs/363587/phd-candidate-neuroplasticity-of-brain-stimulation-in-depression/,42545.67157894737,77592.61894736842,3217.0,5867.0,0.9473684210526315,شامل ۸٪ حق تعطیلات و ۸٫۳٪ پاداش پایان سال · 36 ساعت در هفته,AcademicTransfer,job,Radboudumc,Netherlands,Nijmegen,2026-09-23,2026-08-31,Department of Psychiatry,"€3,217–€5,867 gross/month · Temporary · 36 h/week",100.0,"psycholog*, psychiatr*, neuroscien*, psychiatry, depression, cognitive neuroscience, neuroimaging, eeg",Job description Join a unique translational neuroscience project! We are looking for an enthusiastic and ambitious PhD candidate to join a new multidisciplinary research programme investigating how ECT restores neuroplasticity in depression. The project combi…,2026-09-06
7,Promovendus - Impact van context en psychologische factoren op behandeluitkomsten,در این پروژه شما تحقیقات تجربی را در مورد مکانیسم‌های روان‌شناختی و عصبی با تحقیقات تمرین‌محور در مراقبت‌های بهداشت روانی نظامی ترکیب می‌کنید. در این پروژه به شما این فرصت داده می شود تا فرضیه های علمی خود را توسعه دهید و به شکل گیری تحقیق کمک کنید. این پروژه از دو رکن مکمل تشکیل شده است: تحقیقات کاربردی: چگونه می‌توانیم درمان‌ها را بدون تغییر خود درمان مؤثرتر کنیم؟,In dit project combineer je experimenteel onderzoek naar psychologische en neurobiologische mechanismen met praktijkgericht onderzoek binnen de militaire geestelijke gezondheidszorg. In dit project krijg je de ruimte om je eigen wetenschappelijke hypotheses te ontwikkelen en het onderzoek mee vorm te geven. Het project bestaat uit twee complementaire pijlers: Toepassingsgericht onderzoek : Hoe kunnen we behandelingen effectiever maken zonder de behandeling zelf te veranderen?,https://www.academictransfer.com/en/jobs/363531/promovendus-impact-van-context-en-psychologische-factoren-op-behandeluitkomsten/,42545.67157894737,53919.397894736845,3217.0,4077.0,0.9473684210526315,شامل ۸٪ حق تعطیلات و ۸٫۳٪ پاداش پایان سال · 36 ساعت در هفته,AcademicTransfer,job,UMC Utrecht,Netherlands,Utrecht,2026-09-17,2026-08-27,,"€3,217–€4,077 gross/month · Temporary · 36 h/week",87.8,"psycholog*, neurowetenschap*, geestelijke gezondheid*",Wil jij ontdekken hoe context en psychologische factoren bijdragen aan herstel en zorgresultaten? Combineer experimenteel en praktijkgericht onderzoek in een interdisciplinair PhD traject binnen de militaire geestelijke gezondheidszorg.,2026-09-06
8,Promovendus landelijk gokonderzoek,در این پروژه به بررسی این موضوع می پردازیم که این افراد چه کسانی هستند، چه مشکلاتی دارند، چه نوع برخوردی با آنها انجام می شود و چه نتایجی به دنبال دارد. ما به دنبال یک کاندیدای دکتری جاه طلب و با انگیزه هستیم که این مطالعه کوهورت ملی منحصر به فرد را هماهنگ و اجرا کند. 5 سال تاریخ شروع پروژه در نظر گرفته شده 1 ژانویه 2027 است.,"In dit project onderzoeken we wie deze mensen zijn, welke problemen zij hebben, wat voor behandeling zij krijgen en wat daarvan de uitkomsten zijn. Hiervoor zoeken wij een ambitieuze en gedreven promovendus die dit unieke, landelijke cohortonderzoek gaat coördineren en uitvoeren. 5 jaar Beoogde startdatum van het project is 1 januari 2027.",https://www.academictransfer.com/en/jobs/363701/promovendus-landelijk-gokonderzoek/,37818.3747368421,68971.21684210526,3217.0,5867.0,0.8421052631578947,شامل ۸٪ حق تعطیلات و ۸٫۳٪ پاداش پایان سال · 32 ساعت در هفته,AcademicTransfer,job,Radboudumc,Netherlands,Nijmegen,2026-10-01,2026-09-03,Department of Psychiatry,"€3,217–€5,867 gross/month · Temporary · 32 h/week",95.8,"psycholog*, psychiatr*, psychiatry",Functie Sinds de legalisering van online gokken in Nederland in 2021 is het aantal mensen met problematisch gokgedrag fors gestegen. Hierdoor melden zich ook meer mensen voor hulp in de Nederlandse verslavingszorg. In dit project onderzoeken we wie deze mense…,2026-09-06
9,PhD Candidate Reducing avoidance by altering threat imagery in panic disorder,در این پروژه دکترا، شما به یک تیم بین رشته‌ای ملحق می‌شوید و از تکنیک‌های درمانی و روش‌های یادگیری اساسی برای مقابله با تصاویر ناراحت‌کننده مرتبط با خاطرات بد استفاده می‌کنید. هدف، ایجاد بینش هایی با تأثیر مستقیم بر عملکرد بالینی و رفاه بیمار است. این پروژه تحقیقات تجربی و بالینی را برای پیشبرد بهبودهای درمان مبتنی بر نظریه ترکیب می کند.,"In this PhD project, you will join an interdisciplinary team and use therapeutic techniques and fundamental learning procedures to tackle distressing images related to aversive memories. The aim is to generate insights with direct impact on clinical practice and patient wellbeing. The project will combine experimental and clinical research to advance theory-driven treatment improvements.",https://www.academictransfer.com/en/jobs/363766/phd-candidate-reducing-avoidance-by-altering-threat-imagery-in-panic-disorder/,37665.54947368421,47622.70315789474,3204.0,4051.0,0.8421052631578947,شامل ۸٪ حق تعطیلات و ۸٫۳٪ پاداش پایان سال · 32 ساعت در هفته,AcademicTransfer,job,Maastricht University,Netherlands,Maastricht,2026-10-04,2026-09-07,,"€3,204–€4,051 gross/month · Temporary · 32 h/week",73.0,"psycholog*, neuroscien*, clinical psychology, psychopathology, mental health, anxiety, wellbeing","Welcome to Maastricht University! Can imagery rescripting reduce avoidance in panic disorder? In this PhD project, you will join an interdisciplinary team and use therapeutic techniques and fundamental learning procedures to tackle distressing images related …",2026-09-08
10,"MSCA-DN PhD position in translational in vivo neuroscience (Leiden, NL)",شبکه آموزشی POLARIS POLARIS یک شبکه اروپایی دکترای ماری اسکلودوسکا-کوری است که بر تسریع توسعه درمان برای لوکودیستروفی متمرکز شده است: اختلالات ژنتیکی نادری که بر ماده سفید مغز تأثیر می گذارد. هدف این شبکه تقویت مسیر انتقال کامل از مکانیسم بیماری و توسعه مدل به آزمایش درمان پیش بالینی، آمادگی بالینی و اولویت‌های درمانی آگاهانه از بیمار است.,"The POLARIS training network POLARIS is a European Marie Skłodowska-Curie Doctoral Network focused on accelerating therapy development for leukodystrophies: rare genetic disorders affecting the brain white matter. The network aims to strengthen the full translational pathway from disease mechanism and model development to preclinical therapy testing, clinical readiness and patient-informed treatment priorities.",https://www.academictransfer.com/en/jobs/363692/msca-dn-phd-position-in-translational-in-vivo-neuroscience-leiden-nl/,0.0,0.0,0.0,0.0,0.9473684210526315,,AcademicTransfer,job,Amsterdam UMC,Netherlands,Amsterdam,2026-10-05,2026-09-03,,Temporary · 36 h/week,74.0,"neuroscien*, eeg, patients","Would you like to advance preclinical research into rare neurological diseases? Join POLARIS and combine in vivo neuroscience, behavioural research and data analysis to improve how potential therapies for leukodystrophies are evaluated.",2026-09-07
