rank,title,summary_fa,summary_en,url,amount_eur_year,amount_max_eur_year,salary_min_month,salary_max_month,fte,amount_note,source,kind,organisation,country,city,deadline,posted,field,salary_text,score,matched,summary,first_seen
1,Doctoral Candidate position within the Marie Skłodowska-Curie Actions Doctoral Network ReDiLEEP,EURAXESS شما را با فرصت های جهانی برای رشد حرفه خود مرتبط می کند. از امروز شروع به مرور کنید و قدم بعدی را در سفر حرفه ای خود بردارید!,EURAXESS connects you with global opportunities to grow your career. Start browsing today and take the next step in your professional journey!,https://euraxess.ec.europa.eu/jobs/465957,315000.0,0.0,0.0,0.0,0.0,315 K,EURAXESS,job,"Centro de Investigaciones sobre Desertificación (CIDE, CSIC-UV-GVA)",Spain,,30 Oct 2026 - 23:59 (Europe/Brussels),15 September 2026,Biological sciences,Horizon Europe - MSCA,52.4,"psycholog*, neuropsycholog*, neuroscien*, resilience","Response diversity describes the variation in how individuals, species, or functional groups respond to environmental change and the concept is increasingly recognised as a key driver of ecosystem resilience. Understanding and promoting response diversity is therefore essential for conserving...",2026-09-16
2,PhD Candidate in Neuromodulation of Brain Oscillations during Cognition,به ما بپیوندید و با استفاده از EEG ترکیبی بلادرنگ و تحریک غیرتهاجمی مغز، دینامیک نوسانات عصبی را در رابطه با عملکرد حافظه کاری مطالعه خواهید کرد. هدف ما: هدف ما بررسی نقش مرحله نوسان تتا پیشانی در شناخت، با تمرکز بر حافظه فعال است. در حالی که در کار حیوانات مستقر شده اید، آزمایش خواهید کرد که آیا این پدیده را می توان در شناخت انسان سالم نیز مشاهده کرد.,"Join us, and you will study neural oscillation dynamics in relation to working memory performance, using real-time combined EEG and non-invasive brain stimulation. Our goal: We aim to investigate the role of prefrontal theta oscillation phase in cognition, with a focus on working memory. While established in animal work, you will test whether this phenomenon can also be observed in healthy human cognition.",https://www.academictransfer.com/en/jobs/363791/phd-candidate-in-neuromodulation-of-brain-oscillations-during-cognition/,44727.840000000004,56551.96000000001,3204.0,4051.0,1.0,شامل ۸٪ حق تعطیلات و ۸٫۳٪ پاداش پایان سال,AcademicTransfer,job,Maastricht University,Netherlands,Maastricht,2026-09-27,2026-09-08,,"€3,204–€4,051 gross/month · Permanent · 38 h/week",100.0,"psycholog*, neuroscien*, cognitive neuroscience, eeg, tms, neuromodulation, cognition, memory","Welcome to Maastricht University! Would you like to know how human behavior is explained by neural oscillations and how we can modulate them using non-invasive brain stimulation? Join us, and you will study neural oscillation dynamics in relation to working m…",2026-09-09
3,PhD Candidate in NeuroAI for Auditory Neuroscience,پروژه دکترا بخشی از NASCE (صحنه های شنیداری طبیعی در انسان ها و ماشین ها) است، یک پروژه ERC Synergy که با همکاری دکتر همکاران شما انجام شد: شما به آزمایشگاه شناخت شنیداری در انسان ها و ماشین ها (ARCHIE) ملحق خواهید شد، یک تیم تحقیقاتی بین رشته ای و بین المللی با تحقیقات ممیزی نزدیک با شما کار خواهد کرد. علوم اعصاب، تصویربرداری عصبی، و AI/NeuroAI.,"The PhD project is part of NASCE (Natural Auditory SCEnes in Humans and Machines), an ERC Synergy project conducted in collaboration with Dr. Your colleagues: You will join the AuditoRy Cognition in Humans and MachInEs (ARCHIE) lab , an interdisciplinary and international research team led by Prof. You will work closely with researchers with complementary expertise in auditory neuroscience, neuroimaging, and AI/NeuroAI.",https://www.academictransfer.com/en/jobs/363629/phd-candidate-in-neuroai-for-auditory-neuroscience/,44727.840000000004,56551.96000000001,3204.0,4051.0,1.0,شامل ۸٪ حق تعطیلات و ۸٫۳٪ پاداش پایان سال,AcademicTransfer,job,Maastricht University,Netherlands,Maastricht,2026-09-20,2026-09-01,,"€3,204–€4,051 gross/month · Permanent · 38 h/week",96.2,"psycholog*, neuroscien*, cognitive neuroscience, neuroimaging, fmri, cognition","Welcome to Maastricht University! How does the human brain transform complex natural sounds into meaningful percepts, and can artificial neural networks help us understand this process? Join the NASCE project and combine advanced neuroimaging with AI to inves…",2026-09-06
4,PhD: Freeze-Fight-Flight Dynamics in Mental Health Care,به طور قابل توجهی، فریز اغلب در درمان نادیده گرفته می شود، اگرچه به شدت با بهبودی ضعیف از شرایط سلامت روان مرتبط است. این پروژه نحوه حرکت بیماران مبتلا به اختلالات شخصیتی را بین واکنش‌های دفاعی در زندگی روزمره و درمان ترسیم می‌کند، الگوهای ناسازگار را شناسایی می‌کند و مکانیسم‌های اساسی اساسی را بررسی می‌کند. شما به عنوان کاندیدای دکترا مسئول بخش بالینی این پروژه هستید.,"Strikingly, freeze is often overlooked in therapy, although it is strongly linked to poor recovery from mental health conditions. This project maps how patients with personality disorders move between defensive reactions in daily life and treatment, identifies maladaptive patterns, and examines key underlying mechanisms. As a PhD candidate you are responsible for the clinical part of this project.",https://www.academictransfer.com/en/jobs/363856/phd-freeze-fight-flight-dynamics-in-mental-health-care/,44727.840000000004,56551.96000000001,3204.0,4051.0,1.0,شامل ۸٪ حق تعطیلات و ۸٫۳٪ پاداش پایان سال,AcademicTransfer,job,Universiteit Utrecht,Netherlands,Utrecht,2026-09-27,2026-09-10,,"€3,204–€4,051 gross/month · Temporary · 40 h/week",95.6,"psycholog*, clinical psychology, psychotherapy, mental health, patients",Bridging fundamental science and clinical practice: map freeze-fight-flight dynamics over time and help to change psychological treatment.,2026-09-10
5,PhD position Neuroscience,در این پروژه، بررسی خواهید کرد که چگونه فعالیت جمعیت عصبی با رفتار در محیط‌های مختلف از سنجش‌های آزمایشگاهی استاندارد گرفته تا محوطه‌های بزرگ در فضای باز مرتبط است. با استفاده از تصویربرداری کوچک شده از کلسیم، فعالیت جمعیت بزرگی از نورون‌ها را در موش‌هایی که آزادانه رفتار می‌کنند، ثبت می‌کنید و تعیین می‌کنید که فعالیت عصبی چگونه با تغییرات رفتاری لحظه به لحظه مرتبط است. یکی از اجزای اصلی این پروژه از محفظه های بزرگ ماوس در فضای باز در دانشگاه گرونینگن استفاده خواهد کرد.,"In this project, you will investigate how neural population activity relates to behavior across environments ranging from standardized laboratory assays to large outdoor enclosures. Using miniaturized calcium imaging, you will record the activity of large populations of neurons in freely behaving mice and determine how neural activity relates to moment-to-moment behavioral changes. A major component of the project will make use of large outdoor mouse enclosures at the University of Groningen.",https://www.academictransfer.com/en/jobs/363419/phd-position-neuroscience/,44727.840000000004,56551.96000000001,3204.0,4051.0,1.0,شامل ۸٪ حق تعطیلات و ۸٫۳٪ پاداش پایان سال,AcademicTransfer,job,University of Groningen,Netherlands,Groningen,2026-09-18,2026-08-21,Faculty of Science and Engineering,"€3,204–€4,051 gross/month · Temporary · 38 h/week",82.4,"neuroscien*, anxiety",Understanding how patterns of neural activity give rise to behavior is a central challenge in neuroscience. Most of what we know about this relationship comes from rodent experiments performed under tightly controlled laboratory conditions. While these approa…,2026-09-06
6,"PhD Position on ""Enhancing effective crisis decision-making at the strategic level""","(1 فوت، 4 سال) داوطلب دکترا در کنسرسیوم Zwaartekracht با بودجه NWO کار خواهد کرد ""Adapt!"" و با نظارت پروفسور نگاه کنید به موقعیت دکترا در اکثر بحران‌های مقیاس بزرگ - همه‌گیری کووید-19 از این قاعده مستثنی نیست - سیاست‌ها و پاسخ‌های سازمانی توسط گروه‌های تصمیم‌گیری بحران در سطح بالا مانند هیئت‌های اجرایی، کابینه‌های دولتی و نهادهای ارشد هماهنگی شکل می‌گیرند.","(1 fte, 4 years) The PhD candidate will be working within the NWO-funded Zwaartekracht consortium “Adapt!” and supervised by Prof. See The PhD position In most large-scale crises—the Covid-19 pandemic being no exception—policy and organisational responses are shaped by high-level crisis decision-making groups such as executive boards, government cabinets, and senior coordination bodies.",https://www.academictransfer.com/en/jobs/363843/phd-position-on-enhancing-effective-crisis-decision-making-at-the-strategic-level/,44727.840000000004,56551.96000000001,3204.0,4051.0,1.0,شامل ۸٪ حق تعطیلات و ۸٫۳٪ پاداش پایان سال,AcademicTransfer,job,Universiteit Leiden,Netherlands,Leiden,2026-09-30,2026-09-10,,"€3,204–€4,051 gross/month · Temporary · 38 h/week",77.0,"psycholog*, neuropsycholog*, clinical psychology, behavioral science, wellbeing, stress","PhD Position on “Enhancing effective crisis decision-making at the strategic level” The department of Social, Economic, and Organizational Psychology, Faculty of Social Sciences, Leiden University, invite applications for a PhD Position in the context of the …",2026-09-10
7,PhD position (4 years) on the Role of Foveal Processing in Spatial Attention,در نهایت، هدف آن ایجاد یک گزارش نظری جدید از چگونگی شکل دادن توجه فضایی به ادراک و آماده سازی سیستم بینایی برای حرکات چشم است. به عنوان کاندیدای دکترا، شما مسئول مطالعات رفتاری و روانی پروژه خواهید بود. شما از نزدیک با یک محقق فوق دکترا کار خواهید کرد که از fMRI 7T با میدان فوق العاده بالا برای بررسی مکانیسم های عصبی زیربنایی جذب فووآل استفاده خواهد کرد.,"Ultimately, it aims to develop a new theoretical account of how spatial attention shapes perception and prepares the visual system for eye movements. As the PhD candidate, you will be responsible for the project’s behavioural and psychophysical studies. You will work closely with a postdoctoral researcher who will use ultra-high-field 7T fMRI to investigate the neural mechanisms underlying foveal recruitment.",https://www.academictransfer.com/en/jobs/363344/phd-position-4-years-on-the-role-of-foveal-processing-in-spatial-attention/,44727.840000000004,56551.96000000001,3204.0,4051.0,1.0,شامل ۸٪ حق تعطیلات و ۸٫۳٪ پاداش پایان سال,AcademicTransfer,job,Vrije Universiteit Amsterdam,Netherlands,Amsterdam,2026-09-30,2026-08-17,,"€3,204–€4,051 gross/month · Temporary · 38 h/week",77.0,"psycholog*, neuroscien*, cognitive neuroscience, neuroimaging, fmri, experimental psychology","Are you interested in understanding how attention shapes what we see? Would you like to combine behavioural experiments, psychophysics, and eye tracking to uncover how the brain selects and prioritises visual information from the world around us?",2026-09-06
8,PhD Position: Curiosity in the Classroom,اگر چنین است، پس از شما دعوت می کنیم برای این موقعیت دکترا در مورد کنجکاوی در کلاس درس در دانشگاه رادبود درخواست دهید. در این پروژه دکترا، کنجکاوی در کودکان 10 تا 12 ساله را در محیط های آموزشی معتبر بررسی خواهید کرد. این پروژه تحقیقات تجربی، مطالعات کلاسی و مدل‌سازی محاسباتی را ترکیب می‌کند تا بهتر بفهمد چه چیزی کودکان را کنجکاو می‌کند، چگونه تصمیم می‌گیرند کدام اطلاعات را کشف کنند و چگونه روش‌های مختلف ساختاردهی محیط‌های یادگیری بر کنجکاوی و یادگیری تأثیر می‌گذارد.,"If so, then we invite you to apply for this PhD position on Curiosity in the Classroom at Radboud University. In this PhD project, you will investigate curiosity in 10-to 12-year-old children within authentic educational settings. The project combines experimental research, classroom studies and computational modelling to better understand what makes children curious, how they decide which information to explore, and how different ways of structuring learning environments influence curiosity and learning.",https://www.academictransfer.com/en/jobs/363929/phd-position-curiosity-in-the-classroom/,44727.840000000004,56551.96000000001,3204.0,4051.0,1.0,شامل ۸٪ حق تعطیلات و ۸٫۳٪ پاداش پایان سال,AcademicTransfer,job,Radboud Universiteit,Netherlands,Nijmegen,2026-10-20,2026-09-14,,"€3,204–€4,051 gross/month · Temporary · 38 h/week",70.6,"psycholog*, neuroscien*, cognitive neuroscience","Are you fascinated by how curiosity shapes learning in the classroom? Would you like to investigate how children seek information, explore and learn in real-world educational settings? If so, then we invite you to apply for this PhD position on Curiosity in t…",2026-09-15
9,PhD candidate 'Neuroplasticity of Brain Stimulation in Depression',ما به دنبال یک کاندیدای دکترای مشتاق و جاه طلب هستیم تا به یک برنامه تحقیقاتی چند رشته ای جدید بپیوندیم که بررسی می کند چگونه ECT نوروپلاستیسیته در افسردگی را بازیابی می کند. این پروژه ترکیبی از تصویربرداری عصبی پیشرفته، الکتروفیزیولوژی و علوم اعصاب محاسباتی در یک کنسرسیوم ملی شامل Radboudumc، Amsterdam UMC، UMC Utrecht و موسسه هلند برای علوم اعصاب است.,"We are looking for an enthusiastic and ambitious PhD candidate to join a new multidisciplinary research programme investigating how ECT restores neuroplasticity in depression. The project combines advanced neuroimaging, electrophysiology and computational neuroscience within a national consortium involving Radboudumc, Amsterdam UMC, UMC Utrecht and the Netherlands Institute for Neuroscience.",https://www.academictransfer.com/en/jobs/363587/phd-candidate-neuroplasticity-of-brain-stimulation-in-depression/,42545.67157894737,77592.61894736842,3217.0,5867.0,0.9473684210526315,شامل ۸٪ حق تعطیلات و ۸٫۳٪ پاداش پایان سال · 36 ساعت در هفته,AcademicTransfer,job,Radboudumc,Netherlands,Nijmegen,2026-09-23,2026-08-31,Department of Psychiatry,"€3,217–€5,867 gross/month · Temporary · 36 h/week",100.0,"psycholog*, psychiatr*, neuroscien*, psychiatry, depression, cognitive neuroscience, neuroimaging, eeg",Job description Join a unique translational neuroscience project! We are looking for an enthusiastic and ambitious PhD candidate to join a new multidisciplinary research programme investigating how ECT restores neuroplasticity in depression. The project combi…,2026-09-06
10,Promovendus sportgerelateerde hersenschuddingen en koppen in het voetbal,در این تحقیق شما همچنین به طور فشرده با مرکز آلزایمر آمستردام و بخش پزشکی آزمایشگاهی آمستردام UMC کار می کنید. این موقعیت شامل ترکیبی از کار در کلینیک SGH (سه روز در هفته) و تحقیق در مورد سرفصل ها در فوتبال (دو روز در هفته) است. شما تظاهرات مختلف ضربه مغزی و تفاوت در بهبودی را بررسی می کنید.,Binnen dit onderzoek werk je ook intensief samen met Alzheimercentrum Amsterdam en de afdeling Laboratoriumgeneeskunde van Amsterdam UMC. De functie bestaat uit een combinatie van werkzaamheden binnen de SGH-poli (drie dagen per week) en onderzoek naar koppen in het voetbal (twee dagen per week). Je onderzoekt de verschillende uitingsvormen van hersenschuddingen en verschillen in herstel.,https://www.academictransfer.com/en/jobs/363995/promovendus-sportgerelateerde-hersenschuddingen-en-koppen-in-het-voetbal/,42545.67157894737,53919.397894736845,3217.0,4077.0,0.9473684210526315,شامل ۸٪ حق تعطیلات و ۸٫۳٪ پاداش پایان سال · 36 ساعت در هفته,AcademicTransfer,job,Amsterdam UMC,Netherlands,Amsterdam,2026-09-30,2026-09-16,,"€3,217–€4,077 gross/month · Permanent · 36 h/week",77.0,"psycholog*, neuropsycholog*, neuroscien*, neurowetenschap*",Wil je als promovendus bijdragen aan beter begrip van sportgerelateerde hersenschuddingen en de mogelijke gevolgen van koppen? In deze functie combineer je de coördinatie van patiëntenzorg met neurowetenschappelijk onderzoek,2026-09-16
